x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
420,200,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_02F_A05:-87,Eng2_06F-06:-82,5,1574980577
390,200,Eng2_04F-01:-77,Eng2_02F_A05:-87,Eng2_06F-06:-82,Eng2_03F-05:-71,5,1574980579
370,200,Eng2_04F-01:-77,Eng2_06F-06:-82,Eng2_03F-05:-78,Eng2_06F-04:-71,5,1574980581
340,200,Eng2_04F-01:-77,Eng2_03F-05:-78,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980583
310,200,Eng2_04F-01:-77,Eng2_03F-05:-87,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980585
280,200,Eng2_04F-01:-77,Eng2_03F-05:-87,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980587
260,200,Eng2_04F-01:-77,Eng2_03F-05:-87,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980589
230,200,Eng2_04F-01:-77,Eng2_03F-05:-87,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980591
200,200,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-02:-70,Eng2_05F-05:-82,5,1574980593
170,200,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-02:-70,Eng2_05F-05:-82,5,1574980595
170,170,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-02:-74,Eng2_05F-05:-82,5,1574980597
170,150,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-02:-74,Eng2_05F-05:-82,5,1574980599
170,120,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-02:-72,Eng2_05F-05:-82,5,1574980601
170,100,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-02:-72,Eng2_05F-05:-82,5,1574980603
200,100,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-04:-72,Eng2_04F-05:-61,5,1574980605
230,100,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-04:-72,Eng2_04F-05:-61,5,1574980607
260,100,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-04:-71,Eng2_04F-05:-64,5,1574980609
280,100,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-04:-71,Eng2_04F-05:-64,5,1574980611
310,100,Eng2_04F-01:-85,Eng2_03F-04:-62,Eng2_04F-05:-71,Eng2_03F-02:-74,5,1574980613
340,100,Eng2_04F-01:-85,Eng2_03F-04:-62,Eng2_04F-05:-71,Eng2_03F-02:-74,5,1574980615
370,100,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-04:-79,Eng2_03F-04:-81,5,1574980617
390,100,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-04:-79,Eng2_03F-04:-81,5,1574980619
390,120,Eng2_04F-01:-85,Eng2_02F_A04:-73,Eng2_06F-04:-79,Eng2_03F-04:-72,5,1574980621
390,150,Eng2_04F-01:-85,Eng2_02F_A04:-73,Eng2_06F-04:-79,Eng2_03F-04:-72,5,1574980623
390,170,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_03F-05:-84,Eng2_06F-04:-79,5,1574980625
390,200,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_03F-05:-84,Eng2_06F-04:-79,5,1574980627
420,200,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-84,Eng2_03F-05:-75,5,1574980629
450,200,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-84,Eng2_03F-05:-75,5,1574980631
480,200,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-84,Eng2_03F-05:-66,5,1574980633
500,200,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-83,Eng2_03F-05:-59,5,1574980635
530,200,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-83,Eng2_03F-05:-68,5,1574980637
560,200,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-83,Eng2_03F-05:-68,5,1574980639
560,170,Eng2_04F-01:-85,Eng2_02F_A03:-75,Eng2_06F-06:-86,Eng2_03F-05:-63,5,1574980642
560,150,Eng2_04F-01:-85,Eng2_02F_A03:-75,Eng2_06F-06:-86,Eng2_03F-05:-63,5,1574980644
560,120,Eng2_04F-01:-85,Eng2_02F_A03:-78,Eng2_06F-06:-86,Eng2_03F-05:-63,5,1574980646
560,100,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_06F-06:-86,Eng2_03F-05:-72,5,1574980648
580,100,Eng2_04F-01:-85,Eng2_02F_A03:-83,Eng2_03F-08:-88,Eng2_06F-06:-86,5,1574980650
610,100,Eng2_04F-01:-85,Eng2_02F_A03:-83,Eng2_03F-08:-88,Eng2_06F-06:-86,5,1574980652
630,100,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-76,Eng2_06F-06:-86,5,1574980654
660,100,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-76,Eng2_07F-06:-85,5,1574980656
680,100,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-74,Eng2_06F-07:-83,5,1574980658
710,100,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-74,Eng2_06F-07:-83,5,1574980660
730,100,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-80,Eng2_06F-07:-72,5,1574980662
710,100,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-80,Eng2_06F-07:-72,5,1574980664
680,100,Eng2_04F-01:-85,Eng2_03F-08:-87,Eng2_06F-07:-72,Eng2_07F-06:-66,5,1574980666
660,100,Eng2_04F-01:-85,Eng2_03F-08:-87,Eng2_06F-07:-72,Eng2_07F-06:-66,5,1574980668
630,100,Eng2_04F-01:-85,Eng2_03F-08:-87,Eng2_06F-07:-72,Eng2_07F-06:-66,5,1574980670
610,100,Eng2_04F-01:-85,Eng2_03F-08:-87,Eng2_06F-07:-72,Eng2_07F-06:-66,5,1574980672
580,100,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-87,Eng2_06F-07:-72,5,1574980674
560,100,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-87,Eng2_06F-07:-72,5,1574980676
560,120,Eng2_04F-01:-85,Eng2_02F_A03:-79,Eng2_03F-05:-61,Eng2_03F-04:-81,5,1574980678
560,150,Eng2_04F-01:-85,Eng2_02F_A03:-79,Eng2_03F-05:-61,Eng2_03F-04:-81,5,1574980680
560,170,Eng2_04F-01:-85,Eng2_02F_A03:-79,Eng2_06F-06:-80,Eng2_03F-05:-65,5,1574980682
560,200,Eng2_04F-01:-85,Eng2_02F_A03:-79,Eng2_06F-06:-80,Eng2_03F-05:-65,5,1574980684
580,200,Eng2_04F-01:-85,Eng2_02F_A03:-79,Eng2_06F-06:-75,Eng2_03F-05:-62,5,1574980686
610,200,Eng2_04F-01:-85,Eng2_02F_A03:-79,Eng2_06F-06:-75,Eng2_03F-05:-62,5,1574980688
630,200,Eng2_04F-01:-85,Eng2_02F_A03:-79,Eng2_03F-08:-84,Eng2_06F-06:-75,5,1574980690
660,200,Eng2_04F-01:-86,Eng2_02F_A03:-79,Eng2_03F-08:-86,Eng2_06F-06:-70,5,1574980692
680,200,Eng2_04F-01:-86,Eng2_02F_A03:-79,Eng2_03F-08:-86,Eng2_06F-06:-75,5,1574980694
710,200,Eng2_04F-01:-86,Eng2_02F_A03:-79,Eng2_03F-08:-86,Eng2_06F-06:-75,5,1574980696
730,200,Eng2_04F-01:-86,Eng2_02F_A03:-79,Eng2_03F-08:-87,Eng2_06F-06:-71,5,1574980698
710,200,Eng2_04F-01:-86,Eng2_02F_A03:-79,Eng2_03F-08:-87,Eng2_06F-06:-71,5,1574980700
680,200,Eng2_04F-01:-86,Eng2_02F_A03:-79,Eng2_03F-08:-88,Eng2_06F-06:-67,5,1574980702
660,200,Eng2_04F-01:-86,Eng2_02F_A03:-79,Eng2_03F-08:-88,Eng2_06F-06:-67,5,1574980704
630,200,Eng2_04F-01:-86,Eng2_03F-08:-88,Eng2_06F-06:-70,Eng2_05F-07:-77,5,1574980706
610,200,Eng2_04F-01:-86,Eng2_03F-08:-88,Eng2_06F-06:-70,Eng2_05F-07:-77,5,1574980708
580,200,Eng2_04F-01:-86,Eng2_03F-08:-88,Eng2_06F-06:-70,Eng2_05F-07:-87,5,1574980710
560,200,Eng2_04F-01:-86,Eng2_03F-08:-88,Eng2_06F-06:-70,Eng2_05F-07:-87,5,1574980712
530,200,Eng2_04F-01:-86,Eng2_06F-06:-70,Eng2_05F-07:-87,Eng2_03F-05:-64,5,1574980714
500,200,Eng2_04F-01:-86,Eng2_06F-06:-87,Eng2_05F-07:-87,Eng2_03F-05:-72,5,1574980716
480,200,Eng2_04F-01:-86,Eng1_01F_A21:-82,Eng2_06F-06:-87,Eng2_05F-07:-87,5,1574980718
450,200,Eng2_04F-01:-86,Eng1_01F_A21:-82,Eng2_06F-06:-87,Eng2_05F-07:-87,5,1574980720
420,200,Eng2_04F-01:-86,Eng1_01F_A21:-82,Eng2_06F-06:-87,Eng2_03F-05:-61,5,1574980722
390,200,Eng2_04F-01:-86,Eng1_01F_A21:-82,Eng2_06F-06:-87,Eng2_03F-05:-61,5,1574980724
